event_id,timestamp_utc,region,service,environment,transactions,avg_latency_ms,error_rate_pct,availability_pct,target_latency_ms,status
EVT-0001,2026-08-31T08:00:00Z,London,Payments API,Production,1223,251,0.64,99.59,300,Healthy
EVT-0002,2026-08-31T08:00:00Z,London,Client Portal,Staging,941,357,0.97,99.558,350,Watch
EVT-0003,2026-08-31T08:00:00Z,London,Reporting Engine,Production,779,385,0.95,99.474,450,Watch
EVT-0004,2026-08-31T08:00:00Z,Manchester,Payments API,Production,922,312,0.24,99.891,300,Watch
EVT-0005,2026-08-31T08:00:00Z,Manchester,Client Portal,Staging,624,307,1.25,99.377,350,Watch
EVT-0006,2026-08-31T08:00:00Z,Manchester,Reporting Engine,Production,1067,524,1.15,99.374,450,Watch
EVT-0007,2026-08-31T08:00:00Z,Bristol,Payments API,Staging,979,253,0.86,99.514,300,Healthy
EVT-0008,2026-08-31T08:00:00Z,Bristol,Client Portal,Staging,517,323,0.37,99.73,350,Healthy
EVT-0009,2026-08-31T08:00:00Z,Bristol,Reporting Engine,Production,817,471,0.77,99.612,450,Watch
EVT-0010,2026-08-31T08:00:00Z,Leeds,Payments API,Production,1155,263,1.0,99.484,300,Watch
EVT-0011,2026-08-31T08:00:00Z,Leeds,Client Portal,Production,917,324,1.23,99.337,350,Watch
EVT-0012,2026-08-31T08:00:00Z,Leeds,Reporting Engine,Production,766,400,0.61,99.657,450,Healthy
EVT-0013,2026-08-31T10:00:00Z,London,Payments API,Staging,1023,178,0.3,99.725,300,Healthy
EVT-0014,2026-08-31T10:00:00Z,London,Client Portal,Production,934,206,0.86,99.565,350,Healthy
EVT-0015,2026-08-31T10:00:00Z,London,Reporting Engine,Production,651,481,0.62,99.65,450,Watch
EVT-0016,2026-08-31T10:00:00Z,Manchester,Payments API,Staging,1063,310,0.61,99.681,300,Watch
EVT-0017,2026-08-31T10:00:00Z,Manchester,Client Portal,Production,1018,315,1.06,99.484,350,Watch
EVT-0018,2026-08-31T10:00:00Z,Manchester,Reporting Engine,Staging,702,403,0.79,99.636,450,Healthy
EVT-0019,2026-08-31T10:00:00Z,Bristol,Payments API,Production,971,204,0.45,99.729,300,Healthy
EVT-0020,2026-08-31T10:00:00Z,Bristol,Client Portal,Staging,309,338,0.65,99.553,350,Healthy
EVT-0021,2026-08-31T10:00:00Z,Bristol,Reporting Engine,Production,512,428,0.55,99.637,450,Healthy
EVT-0022,2026-08-31T10:00:00Z,Leeds,Payments API,Production,1018,237,0.69,99.518,300,Healthy
EVT-0023,2026-08-31T10:00:00Z,Leeds,Client Portal,Staging,991,311,1.11,99.344,350,Watch
EVT-0024,2026-08-31T10:00:00Z,Leeds,Reporting Engine,Production,622,515,0.46,99.765,450,Watch
EVT-0025,2026-08-31T12:00:00Z,London,Payments API,Production,1123,209,0.54,99.699,300,Healthy
EVT-0026,2026-08-31T12:00:00Z,London,Client Portal,Production,1114,355,0.52,99.616,350,Watch
EVT-0027,2026-08-31T12:00:00Z,London,Reporting Engine,Production,911,551,0.93,99.494,450,Watch
EVT-0028,2026-08-31T12:00:00Z,Manchester,Payments API,Production,1220,314,0.02,99.968,300,Watch
EVT-0029,2026-08-31T12:00:00Z,Manchester,Client Portal,Production,737,356,1.03,99.498,350,Watch
EVT-0030,2026-08-31T12:00:00Z,Manchester,Reporting Engine,Production,765,466,0.59,99.678,450,Watch
EVT-0031,2026-08-31T12:00:00Z,Bristol,Payments API,Staging,1044,302,0.39,99.784,300,Watch
EVT-0032,2026-08-31T12:00:00Z,Bristol,Client Portal,Production,669,397,0.68,99.654,350,Watch
EVT-0033,2026-08-31T12:00:00Z,Bristol,Reporting Engine,Production,685,488,1.33,99.389,450,Critical
EVT-0034,2026-08-31T12:00:00Z,Leeds,Payments API,Production,1139,265,0.36,99.814,300,Healthy
EVT-0035,2026-08-31T12:00:00Z,Leeds,Client Portal,Staging,692,339,0.93,99.547,350,Watch
EVT-0036,2026-08-31T12:00:00Z,Leeds,Reporting Engine,Production,609,415,0.94,99.493,450,Watch
EVT-0037,2026-08-31T14:00:00Z,London,Payments API,Production,741,225,0.81,99.574,300,Healthy
EVT-0038,2026-08-31T14:00:00Z,London,Client Portal,Staging,781,381,1.01,99.465,350,Watch
EVT-0039,2026-08-31T14:00:00Z,London,Reporting Engine,Production,914,459,1.11,99.345,450,Watch
EVT-0040,2026-08-31T14:00:00Z,Manchester,Payments API,Production,1851,297,0.93,99.431,300,Watch
EVT-0041,2026-08-31T14:00:00Z,Manchester,Client Portal,Staging,624,468,0.99,99.516,350,Watch
EVT-0042,2026-08-31T14:00:00Z,Manchester,Reporting Engine,Production,944,545,0.91,99.413,450,Watch
EVT-0043,2026-08-31T14:00:00Z,Bristol,Payments API,Production,1006,341,0.02,99.812,300,Watch
EVT-0044,2026-08-31T14:00:00Z,Bristol,Client Portal,Production,759,453,0.62,99.668,350,Watch
EVT-0045,2026-08-31T14:00:00Z,Bristol,Reporting Engine,Staging,673,461,0.8,99.535,450,Watch
EVT-0046,2026-08-31T14:00:00Z,Leeds,Payments API,Production,1263,300,0.4,99.647,300,Healthy
EVT-0047,2026-08-31T14:00:00Z,Leeds,Client Portal,Production,1003,409,0.69,99.668,350,Watch
EVT-0048,2026-08-31T14:00:00Z,Leeds,Reporting Engine,Staging,786,466,1.23,99.335,450,Watch
EVT-0049,2026-08-31T16:00:00Z,London,Payments API,Production,1090,168,0.75,99.534,300,Healthy
EVT-0050,2026-08-31T16:00:00Z,London,Client Portal,Production,567,273,1.09,99.456,350,Watch
EVT-0051,2026-08-31T16:00:00Z,London,Reporting Engine,Production,710,395,0.02,99.812,450,Healthy
EVT-0052,2026-08-31T16:00:00Z,Manchester,Payments API,Production,1232,292,0.79,99.477,300,Healthy
EVT-0053,2026-08-31T16:00:00Z,Manchester,Client Portal,Staging,661,351,1.13,99.365,350,Watch
EVT-0054,2026-08-31T16:00:00Z,Manchester,Reporting Engine,Production,1041,501,0.76,99.657,450,Watch
EVT-0055,2026-08-31T16:00:00Z,Bristol,Payments API,Staging,1453,240,0.71,99.66,300,Healthy
EVT-0056,2026-08-31T16:00:00Z,Bristol,Client Portal,Production,644,321,0.72,99.567,350,Healthy
EVT-0057,2026-08-31T16:00:00Z,Bristol,Reporting Engine,Production,1025,458,0.77,99.491,450,Watch
EVT-0058,2026-08-31T16:00:00Z,Leeds,Payments API,Staging,1358,297,0.73,99.622,300,Healthy
EVT-0059,2026-08-31T16:00:00Z,Leeds,Client Portal,Production,526,323,0.76,99.559,350,Healthy
EVT-0060,2026-08-31T16:00:00Z,Leeds,Reporting Engine,Production,851,499,0.81,99.477,450,Watch
EVT-0061,2026-08-31T18:00:00Z,London,Payments API,Staging,1104,133,0.39,99.802,300,Healthy
EVT-0062,2026-08-31T18:00:00Z,London,Client Portal,Production,1038,272,0.46,99.638,350,Healthy
EVT-0063,2026-08-31T18:00:00Z,London,Reporting Engine,Staging,912,403,1.24,99.283,450,Watch
EVT-0064,2026-08-31T18:00:00Z,Manchester,Payments API,Production,1124,297,0.42,99.644,300,Healthy
EVT-0065,2026-08-31T18:00:00Z,Manchester,Client Portal,Staging,731,401,0.85,99.485,350,Watch
EVT-0066,2026-08-31T18:00:00Z,Manchester,Reporting Engine,Production,1074,423,0.56,99.592,450,Healthy
EVT-0067,2026-08-31T18:00:00Z,Bristol,Payments API,Staging,1515,252,1.06,99.368,300,Watch
EVT-0068,2026-08-31T18:00:00Z,Bristol,Client Portal,Production,861,387,0.48,99.729,350,Watch
EVT-0069,2026-08-31T18:00:00Z,Bristol,Reporting Engine,Production,819,441,0.9,99.439,450,Watch
EVT-0070,2026-08-31T18:00:00Z,Leeds,Payments API,Staging,1153,283,1.0,99.478,300,Watch
EVT-0071,2026-08-31T18:00:00Z,Leeds,Client Portal,Staging,684,211,1.44,99.32,350,Critical
EVT-0072,2026-08-31T18:00:00Z,Leeds,Reporting Engine,Staging,772,504,0.95,99.494,450,Watch
EVT-0073,2026-09-01T08:00:00Z,London,Payments API,Production,1426,191,0.24,99.788,300,Healthy
EVT-0074,2026-09-01T08:00:00Z,London,Client Portal,Production,777,282,0.78,99.482,350,Healthy
EVT-0075,2026-09-01T08:00:00Z,London,Reporting Engine,Production,489,381,0.65,99.695,450,Healthy
EVT-0076,2026-09-01T08:00:00Z,Manchester,Payments API,Production,1125,212,0.79,99.492,300,Healthy
EVT-0077,2026-09-01T08:00:00Z,Manchester,Client Portal,Production,927,308,0.53,99.708,350,Healthy
EVT-0078,2026-09-01T08:00:00Z,Manchester,Reporting Engine,Production,405,455,1.16,99.356,450,Watch
EVT-0079,2026-09-01T08:00:00Z,Bristol,Payments API,Staging,1099,232,0.54,99.705,300,Healthy
EVT-0080,2026-09-01T08:00:00Z,Bristol,Client Portal,Production,550,330,0.58,99.655,350,Healthy
EVT-0081,2026-09-01T08:00:00Z,Bristol,Reporting Engine,Production,979,452,1.26,99.402,450,Watch
EVT-0082,2026-09-01T08:00:00Z,Leeds,Payments API,Production,946,198,0.51,99.71,300,Healthy
EVT-0083,2026-09-01T08:00:00Z,Leeds,Client Portal,Staging,511,315,0.83,99.622,350,Healthy
EVT-0084,2026-09-01T08:00:00Z,Leeds,Reporting Engine,Production,434,455,0.9,99.582,450,Watch
EVT-0085,2026-09-01T10:00:00Z,London,Payments API,Production,1114,195,0.43,99.763,300,Healthy
EVT-0086,2026-09-01T10:00:00Z,London,Client Portal,Production,1080,235,0.82,99.492,350,Healthy
EVT-0087,2026-09-01T10:00:00Z,London,Reporting Engine,Production,831,370,1.17,99.464,450,Watch
EVT-0088,2026-09-01T10:00:00Z,Manchester,Payments API,Production,1315,236,0.26,99.739,300,Healthy
EVT-0089,2026-09-01T10:00:00Z,Manchester,Client Portal,Production,762,380,1.44,99.242,350,Critical
EVT-0090,2026-09-01T10:00:00Z,Manchester,Reporting Engine,Production,441,401,0.78,99.55,450,Healthy
EVT-0091,2026-09-01T10:00:00Z,Bristol,Payments API,Staging,996,258,0.54,99.642,300,Healthy
EVT-0092,2026-09-01T10:00:00Z,Bristol,Client Portal,Production,530,364,0.74,99.618,350,Watch
EVT-0093,2026-09-01T10:00:00Z,Bristol,Reporting Engine,Production,920,432,0.63,99.692,450,Healthy
EVT-0094,2026-09-01T10:00:00Z,Leeds,Payments API,Production,1103,296,0.08,99.952,300,Healthy
EVT-0095,2026-09-01T10:00:00Z,Leeds,Client Portal,Production,731,270,0.89,99.437,350,Healthy
EVT-0096,2026-09-01T10:00:00Z,Leeds,Reporting Engine,Production,661,470,0.21,99.768,450,Watch
EVT-0097,2026-09-01T12:00:00Z,London,Payments API,Production,1206,327,0.56,99.576,300,Watch
EVT-0098,2026-09-01T12:00:00Z,London,Client Portal,Production,776,267,0.4,99.711,350,Healthy
EVT-0099,2026-09-01T12:00:00Z,London,Reporting Engine,Production,969,474,1.08,99.392,450,Watch
EVT-0100,2026-09-01T12:00:00Z,Manchester,Payments API,Production,1303,327,0.86,99.59,300,Watch
EVT-0101,2026-09-01T12:00:00Z,Manchester,Client Portal,Production,810,434,0.73,99.556,350,Watch
EVT-0102,2026-09-01T12:00:00Z,Manchester,Reporting Engine,Production,724,496,0.82,99.563,450,Watch
EVT-0103,2026-09-01T12:00:00Z,Bristol,Payments API,Production,1470,295,0.16,99.778,300,Healthy
EVT-0104,2026-09-01T12:00:00Z,Bristol,Client Portal,Production,811,452,0.83,99.529,350,Watch
EVT-0105,2026-09-01T12:00:00Z,Bristol,Reporting Engine,Staging,991,472,0.89,99.464,450,Watch
EVT-0106,2026-09-01T12:00:00Z,Leeds,Payments API,Staging,1211,251,0.61,99.698,300,Healthy
EVT-0107,2026-09-01T12:00:00Z,Leeds,Client Portal,Production,577,357,0.9,99.457,350,Watch
EVT-0108,2026-09-01T12:00:00Z,Leeds,Reporting Engine,Production,546,563,0.47,99.768,450,Watch
EVT-0109,2026-09-01T14:00:00Z,London,Payments API,Staging,1181,306,0.82,99.509,300,Watch
EVT-0110,2026-09-01T14:00:00Z,London,Client Portal,Staging,553,361,1.11,99.487,350,Watch
EVT-0111,2026-09-01T14:00:00Z,London,Reporting Engine,Production,720,450,0.89,99.491,450,Healthy
EVT-0112,2026-09-01T14:00:00Z,Manchester,Payments API,Production,1513,233,0.49,99.717,300,Healthy
EVT-0113,2026-09-01T14:00:00Z,Manchester,Client Portal,Production,935,353,0.46,99.645,350,Watch
EVT-0114,2026-09-01T14:00:00Z,Manchester,Reporting Engine,Production,1028,574,0.69,99.54,450,Watch
EVT-0115,2026-09-01T14:00:00Z,Bristol,Payments API,Production,1315,263,0.8,99.495,300,Healthy
EVT-0116,2026-09-01T14:00:00Z,Bristol,Client Portal,Production,589,392,0.84,99.49,350,Watch
EVT-0117,2026-09-01T14:00:00Z,Bristol,Reporting Engine,Production,508,561,1.37,99.34,450,Critical
EVT-0118,2026-09-01T14:00:00Z,Leeds,Payments API,Production,1065,363,0.35,99.837,300,Watch
EVT-0119,2026-09-01T14:00:00Z,Leeds,Client Portal,Staging,893,398,0.89,99.441,350,Watch
EVT-0120,2026-09-01T14:00:00Z,Leeds,Reporting Engine,Production,776,456,0.85,99.447,450,Watch
EVT-0121,2026-09-01T16:00:00Z,London,Payments API,Production,995,205,0.58,99.623,300,Healthy
EVT-0122,2026-09-01T16:00:00Z,London,Client Portal,Production,801,216,0.66,99.663,350,Healthy
EVT-0123,2026-09-01T16:00:00Z,London,Reporting Engine,Production,1003,374,0.41,99.739,450,Healthy
EVT-0124,2026-09-01T16:00:00Z,Manchester,Payments API,Production,1064,259,0.99,99.506,300,Watch
EVT-0125,2026-09-01T16:00:00Z,Manchester,Client Portal,Production,861,341,1.09,99.372,350,Watch
EVT-0126,2026-09-01T16:00:00Z,Manchester,Reporting Engine,Production,823,468,1.16,99.348,450,Watch
EVT-0127,2026-09-01T16:00:00Z,Bristol,Payments API,Staging,1177,224,0.72,99.635,300,Healthy
EVT-0128,2026-09-01T16:00:00Z,Bristol,Client Portal,Production,1002,347,0.84,99.573,350,Healthy
EVT-0129,2026-09-01T16:00:00Z,Bristol,Reporting Engine,Staging,688,374,1.25,99.349,450,Watch
EVT-0130,2026-09-01T16:00:00Z,Leeds,Payments API,Staging,1019,310,0.39,99.745,300,Watch
EVT-0131,2026-09-01T16:00:00Z,Leeds,Client Portal,Production,916,417,0.21,99.833,350,Watch
